,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,778259.164,40,868317.393,42
1979,876986.824,30,871359.995,24,882534.436,34,898511.15,46,870981.113,45,717471.065,30,508770.364,35,179848.666,29,73053.142,24,424977.641,32,803107.246,42,871834.274,44
1980,877386.988,31,882336.376,34,886446.36,41,875987.054,27,837579.098,32,778344.014,42,573240.626,44,335600.176,43,261838.117,41,442062.676,35,786073.071,41,861621.664,38
1981,846999.711,19,877827.89,31,887060.185,42,887461.157,40,883451.649,46,807647.793,44,637300.213,46,395697.147,45,344527.74,46,506835.191,41,660722.876,24,837334.681,31
1982,880030.73,33,889206.617,41,893521.187,46,888750.072,42,853035.687,40,754478.686,34,540782.079,41,296260.298,39,198644.067,36,540541.732,44,846410.848,46,850220.543,34
1983,868482.345,25,873632.108,27,878910.619,31,883445.621,34,860184.186,41,808342.937,46,527214.603,39,258198.639,36,132680.596,33,349465.079,27,706151.838,29,869727.388,43
1984,867092.604,24,833602.223,11,858002.9,15,888899.302,43,860682.97,42,770672.822,40,403247.064,28,159308.269,28,73152.68,25,304785.17,26,759351.256,37,846210.984,33
1985,869936.803,26,883071.603,37,868310.837,24,884680.561,38,852223.628,39,645443.992,23,381675.644,27,105519.445,23,43288.146,19,133094.371,12,606451.527,19,853913.397,35
1986,887818.471,42,862842.202,20,861497.103,18,871149.892,26,861074.711,43,808302.973,45,562036.817,42,297947.342,41,284271.709,43,447551.66,37,686214.271,25,843347.965,32
1987,872625.005,28,880760.974,33,880555.49,32,881899.609,33,846960.194,37,796312.935,43,520010.896,37,187058.198,30,100572.845,30,385610.351,30,735707.633,35,,
1988,,,886993.27,40,883259.731,36,897767.641,45,846830.929,36,707208.897,28,429734.707,29,237245.097,33,226285.26,39,516973.317,42,815726.462,44,855905.274,36
1989,889586.744,43,890485.276,43,876061.835,30,867434.093,24,825024.078,28,760320.876,37,525490.645,38,408671.109,46,316732.375,45,442973.325,36,659351.85,23,814951.981,24
1990,893782.523,45,871711.185,25,867184.884,23,821484.677,11,763246.41,13,712603.955,29,472377.893,33,265799.794,37,216876.081,38,491777.983,40,836462.199,45,877957.208,45
1991,887274.636,40,877206.908,29,887909.836,44,845168.545,18,831490.545,30,756991.494,36,485851.64,34,326635.225,42,148439.113,34,427851.335,33,725802.786,32,836249.666,30
1992,883919.933,37,886173.013,39,866604.285,21,892091.337,44,819499.563,25,753525.077,33,437058.305,30,249312.196,35,212566.781,37,606713.142,45,815200.997,43,865086.173,41
1993,870098.066,27,877887.755,32,869379.582,26,858083.375,21,819763.75,26,611994.237,19,343528.778,26,196610.272,31,114929.146,31,429510.779,34,721264.73,31,775864.303,14
1994,881382.036,35,897698.785,45,885085.959,40,876794.462,28,844567.377,35,727458.536,31,441559.015,31,204733.68,32,120875.309,32,241202.108,23,772691.607,38,828392.072,28
1995,866037.911,23,844926.094,13,856256.01,14,689237.601,1,702340.037,5,487472.917,7,179813.871,8,40641.799,8,23610.705,1,196496.805,20,703131.454,28,823959.759,26
1996,844638.189,17,868999.938,22,849734.182,12,864379.998,22,866509.806,44,772940.315,41,519298.654,36,297193.838,40,279488.355,42,532099.465,43,577533.98,15,778655.936,15
1997,880736.331,34,890380.641,42,858068.85,16,839004.198,14,730712.772,9,571859.758,14,271063.952,20,100318.081,21,65118.508,22,193631.519,19,730230.445,34,863127.185,39
1998,878690.403,32,900471.446,46,883207.497,35,877917.965,29,842927.226,34,770448.556,39,529378.624,40,278136.262,38,237106.918,40,685297.565,46,869361.076,47,858906.618,37
1999,885169.574,38,872370.283,26,889221.79,45,879859.778,30,836706.338,31,767276.551,38,591613.078,45,244852.822,34,97274.488,28,484367.828,39,773510.265,39,810013.718,23
2000,860715.353,22,855116.684,16,861998.378,19,866094.359,23,816098.272,24,675985.286,26,341927.973,25,149500.421,27,83949.433,26,284038.57,25,650216.596,22,829126.753,29
2001,845269.166,18,855306.74,17,875496.129,29,884068.521,36,808427.794,22,639112.018,22,322274.267,24,122306.019,24,71424.027,23,221029.254,21,637515.704,21,683775.189,8
2002,882679.153,36,885100.976,38,883294.705,37,869620.056,25,840400.483,33,754817.156,35,455200.381,32,133276.506,25,156873.498,35,479672.849,38,741640.393,36,863463.026,40
2003,887463.78,41,890600.679,44,881827.867,33,880690.48,31,826464.041,29,736234.03,32,564679.459,43,383776.148,44,307539.589,44,408823.276,31,729634.948,33,825775.418,27
2004,890761.481,44,882854.321,36,883838.845,39,888334.81,41,812171.114,23,647510.342,24,285632.958,22,133900.247,26,97240.722,27,352228.228,28,716310.794,30,806050.267,21
2005,834565.039,15,787361.595,5,883601.338,38,884197.675,37,791470.963,19,608265.338,18,243847.451,14,61163.988,13,28879.86,2,190989.988,18,609904.331,20,711231.959,11
2006,787378.324,11,835812.408,12,855993.104,13,883558.688,35,767582.83,14,571802.1,13,211388.786,13,78184.368,15,98040.713,29,359994.172,29,694273.831,26,797476.682,18
2007,817241.956,13,882728.6,35,838215.068,9,778241.912,3,784773.326,18,597146.451,16,254124.952,18,89271.477,18,30933.216,11,97032.587,10,563503.746,14,725718.115,13
2008,733039.642,5,790805.73,6,869707.137,27,821276.761,10,781619.424,16,586899.162,15,281950.94,21,87027.048,17,32580.996,12,165304.097,17,537937.398,11,702866.845,10
2009,768182.394,6,860076.951,19,866762.641,22,842768.63,16,823126.393,27,676921.823,27,247780.618,16,71686.835,14,33620.731,15,57518.052,5,407418.045,4,787732.663,16
2010,782025.033,9,848057.017,14,864513.419,20,840263.909,15,743912.542,11,528170.432,11,184491.129,9,34595.808,4,30829.179,10,142333.38,14,586369.834,17,809908.192,22
2011,856363.003,21,865358.725,21,810229.436,4,790300.759,5,656783.718,2,378528.111,3,122705.273,4,44363.152,10,29629.965,4,77840.247,8,465979.286,7,512388.872,3
2012,718276.078,2,580498.377,1,760113.283,1,760048.511,2,658464.706,3,283812.028,1,77193.309,1,31858.35,1,29088.548,3,52582.468,4,248036.238,2,492584.824,1
2013,770330.356,8,849079.052,15,887453.917,43,843219.464,17,743693.769,10,620549.07,21,252071.7,17,89594.879,19,51357.936,20,226267.813,22,553934.962,13,788170.021,17
2014,876815.99,29,859525.341,18,816694.792,5,855136.975,20,800178.209,21,654371.652,25,291813.901,23,86210.673,16,38290.731,17,282413.428,24,699007.147,27,801324.88,19
2015,886560.917,39,877758.024,30,837235.024,8,804538.228,7,729234.323,7,406626.553,5,143869.369,6,38563.59,7,30223.502,8,121818.823,11,453089.996,5,656954.359,7
2016,719238.038,3,737710.987,2,802208.576,3,781227.496,4,691468.58,4,384011.847,4,111593.421,3,40897.314,9,30286.356,9,35043.611,1,167397.219,1,527936.641,4
2017,640694.804,1,766453.085,4,776291.396,2,820195.053,9,784158.821,17,490270.411,8,196540.764,12,56646.307,12,35237.583,16,149150.393,15,522661.746,10,718594.424,12
2018,769862.821,7,796203.073,9,869325.382,25,881539.48,32,847751.931,38,607990.616,17,185426.183,10,31935.132,2,29776.603,6,42577.952,2,493213.833,8,605766.031,5
2019,796439.083,12,873825.703,28,859139.461,17,826042.92,12,752010.489,12,499156.458,9,133610.64,5,34799.291,5,29641.068,5,68415.733,7,590653.066,18,818087.758,25
2020,851290.403,20,814913.343,10,836203.709,7,801770.501,6,622815.575,1,377415.063,2,104015.802,2,36960.942,6,30169.17,7,45226.669,3,262930.696,3,506689.712,2
2021,731133.228,4,869906.624,23,874598.798,28,815361.881,8,729720.454,8,552486.583,12,260363.267,19,105218.45,22,55001.95,21,161712.134,16,581886.676,16,802878.529,20
2022,843265.434,16,793929.967,7,819712.126,6,831821.261,13,727306.859,6,474025.302,6,165747.94,7,55119.405,11,33504.046,14,62928.609,6,522505.916,9,636573.856,6
2023,786075.47,10,795081.993,8,849652.439,11,851041.965,19,769607.011,15,516777.46,10,244412.269,15,92868.478,20,43182.196,18,134329.332,13,550540.515,12,688458.794,9
2024,832034.821,14,762043.424,3,844145.793,10,886349.382,39,799224.258,20,613804.552,20,189549.392,11,32406.123,3,33382.64,13,96342.397,9,459011.577,6,,